% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 13:21"
% Table,Table 3 - mXY
% scale,Eigenfrequency (GHz),py (1),N (1)
1,3.7432566576803694+1.1223624305120796E-5i,-46.28166029174443,-11.580739205144965
1,9.046792418196883+2.5627330675791715E-5i,-0.12012487612303799,-11.898704767313125
1,9.968680523242709+1.2613143344828257E-5i,-47.393336816201085,-11.85744569226664
1,10.932457535737223+3.323112416557941E-5i,-46.24252065667624,-11.583553517091836
1,15.438063019849915+2.313313948295633E-5i,-0.06102192174020821,-12.071963941348429
1,16.14639595976857+7.318146329129108E-5i,-0.07676196468814546,-11.696905766658714
1,22.51659555770023+6.907899924503064E-5i,-46.150354648705175,-11.543190200457545
1,22.574115256548197-1.9708738096637193E-5i,-48.251235747240166,-12.066776957555808
1.2,3.745908927437222-2.4563263385590504E-6i,-47.506956764829475,-11.894744227229438
1.2,7.465040035214527-1.930853718935471E-5i,-0.29107395481421733,-12.380019355250187
1.2,7.838715136861623+1.5281885032909304E-6i,-48.748757089716435,-12.206272508590217
1.2,8.807977812265916+1.1197095197068156E-5i,-48.03557885278044,-12.06607657284935
1.2,11.745876786851843-3.0998003592528585E-6i,-0.11231570029290401,-12.407601609876744
1.2,12.43981978729122-7.093103108292747E-7i,-0.13684783728729688,-12.496536856914386
1.2,16.575999101076953+1.0863413437925758E-5i,-47.69624147764251,-11.936536228860223
1.2,16.766807956287188-1.3564982848722919E-5i,-49.88658868983402,-12.48677008935895
1.4,3.7462266294717814-2.5505910154135824E-8i,-47.52796423578226,-11.90791214639545
1.4,6.528141671602197-5.878574531835394E-8i,-0.6334869415058554,-12.274360261222682
1.4,6.558215401375553+2.0930573272744707E-6i,-48.362688123916506,-12.118233479541825
1.4,7.513403097060278-4.465098229521084E-7i,-47.701659250297794,-12.056638352766216
1.4,9.541219263292776+5.859985620942266E-7i,-0.1758087356196347,-12.450930628043936
1.4,10.24905419683567-7.969889947064826E-7i,-0.19548201243031438,-12.046714596220847
1.4,13.076233791487372+4.168719203512446E-6i,-48.081996185432416,-12.04013805601847
1.4,13.192311555874733-2.7079005321792007E-7i,-49.141583485278844,-12.304408375701557
1.6,3.740155387812777-4.371745525418811E-7i,-47.30563019668321,-11.863940291229131
1.6,5.712681696614554+1.105571976473674E-5i,-49.14997954349217,-12.331511962321995
1.6,5.8974949454496235-7.697527127118849E-7i,-1.2201894345456603,-12.144442058020397
1.6,6.6728765017391884+9.212975558179845E-6i,-47.51788916280095,-12.149919881385966
1.6,8.077825788288864-5.093016468135428E-6i,-0.2653105941189637,-12.233844327929276
1.6,8.812524382350933+1.559585056895389E-5i,-0.36308958432273297,-12.37036872820126
1.6,10.737659098461712-2.740587648224334E-6i,-47.91070415539479,-12.018442907533558
1.6,10.870049009672194+3.9445966899556195E-5i,-50.480732782841464,-12.66496333637547
1.8,3.7405055994405134+2.0588234694731392E-7i,-47.69695753130853,-11.971190487492988
1.8,5.14627215595803+6.669427184183776E-6i,-49.35367587754672,-12.441131980735763
1.8,5.455622619223-4.309887374595537E-6i,-2.2115982022041316,-12.202724842623253
1.8,6.096609874023797-8.892285528546805E-7i,-44.710215259107656,-11.627158658969398
1.8,7.096729825299129-9.692457619672131E-6i,-0.3509888686955918,-12.429538084386321
1.8,7.794209294124219-1.3273086669913837E-5i,-0.39845803298463583,-11.469633515555381
1.8,9.1426305347721-1.635080806020469E-5i,-47.56391545911548,-11.943175387043617
1.8,9.312397262192645+1.5955131539615743E-5i,-48.74289357479365,-12.230591682072433
2,3.7392037008862147-4.727730286372007E-7i,-46.22096097912805,-11.60615812978089
2,4.736939058031541+1.5039257772234011E-5i,-47.0831657246445,-11.82992360736754
2,5.140463939855263-3.1678757749076926E-6i,-3.085515832542604,-11.953221865176944
2,5.687393164669319-1.2297452983236081E-6i,-43.9149649989138,-11.684582562997925
2,6.385650603730692-3.260952066895561E-6i,-0.3826953725924618,-12.077394338947466
2,7.080795385444703-2.652705087976306E-5i,-0.561192332335812,-11.840418840128505
2,7.978985575739367+8.49007295999056E-6i,-45.801859316751404,-11.515692308748129
2,8.18393759790327+1.40925217938193E-5i,-48.52614952805046,-12.183678805921526
2.2,3.7429643580897576+1.9567303210233216E-7i,-46.975343987910236,-11.810708102925135
2.2,4.431877166257215+9.394324957026684E-6i,-49.44756997866293,-12.449129431596832
