% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 13:20"
% Table,Table 1 - mXZ
% scale,Eigenfrequency (GHz),py (1),N (1)
1,3.7432566576803694+1.1223624305120796E-5i,-46.40212981806888,-11.605075442527035
1,9.046792418196883+2.5627330675791715E-5i,-47.64284186390621,-11.91705553552331
1,9.968680523242709+1.2613143344828257E-5i,-0.03858506115749666,-11.916622244119402
1,10.932457535737223+3.323112416557941E-5i,-46.378222241742456,-11.596797163863792
1,15.438063019849915+2.313313948295633E-5i,-0.05952146230992463,-12.111355666938408
1,16.14639595976857+7.318146329129108E-5i,-46.825570207840165,-11.70833131979496
1,22.51659555770023+6.907899924503064E-5i,-45.72350865033951,-11.631213437631844
1,22.574115256548197-1.9708738096637193E-5i,-0.7510680794993023,-12.069180040064373
1.2,3.745908927437222-2.4563263385590504E-6i,-47.54291030465791,-11.895557852872034
1.2,7.465040035214527-1.930853718935471E-5i,-49.52200230882912,-12.395460020422808
1.2,7.838715136861623+1.5281885032909304E-6i,-0.08271013421521915,-12.193150830683985
1.2,8.807977812265916+1.1197095197068156E-5i,-48.28701693092234,-12.080449220051136
1.2,11.745876786851843-3.0998003592528585E-6i,-0.17157412880242912,-12.41108001245361
1.2,12.43981978729122-7.093103108292747E-7i,-50.04078759594081,-12.538428195424654
1.2,16.575999101076953+1.0863413437925758E-5i,-46.0110951835665,-11.936240498028473
1.2,16.766807956287188-1.3564982848722919E-5i,-1.9012399266552031,-12.482620546451884
1.4,3.7462266294717814-2.5505910154135824E-8i,-47.531775731251024,-11.897256843164845
1.4,6.528141671602197-5.878574531835394E-8i,-49.055921902454465,-12.284344603560138
1.4,6.558215401375553+2.0930573272744707E-6i,-0.10864814272698302,-12.10468180565913
1.4,7.513403097060278-4.465098229521084E-7i,-48.10843673528309,-12.03689692970135
1.4,9.541219263292776+5.859985620942266E-7i,-0.16155549447913856,-12.474427563235649
1.4,10.24905419683567-7.969889947064826E-7i,-48.16181846103791,-12.052756285013672
1.4,13.076233791487372+4.168719203512446E-6i,-48.00719162475521,-12.01824029717957
