% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 14:43"
% Table,Table 2 - mYZ
% scale,Eigenfrequency (GHz),py (1),N (1)
5.6,3.198767270924621+9.791740729254436E-6i,-50.08293211758721,-12.57451129929287
5.6,3.383714558439245+1.2683125034048033E-5i,-49.31674091661108,-12.385138836061227
5.6,3.635191453888753-1.3529393242935223E-5i,-44.08643412911738,-12.348728693409122
5.6,3.704738323458539-1.608117184379834E-5i,-38.95625626726436,-12.210945832114435
5.6,3.7584654295728166+1.6075410692968767E-7i,-46.248950078682725,-11.699720864320192
5.6,3.960639965602851-7.661581610728439E-6i,-17.364723319374278,-11.84273332940289
5.6,3.9630054940466284-1.0503221004807205E-6i,-21.79816828507961,-12.009413331392002
5.6,3.9838650146500565-3.985181077366986E-6i,-42.64448057895407,-11.162107776849131
5.8,3.1837753076574473+1.6593984732806025E-5i,-51.44857811774389,-12.918041428824019
5.8,3.334855951618444+3.3079434476023904E-5i,-49.67966358524367,-12.46820890382965
5.8,3.602596086723754-4.045454812171009E-6i,-45.39193508843154,-12.894359067561105
5.8,3.6698200102267853-4.423473631227159E-6i,-41.68930758052642,-12.609988192267034
5.8,3.7557339046630758+1.0708345227497498E-6i,-47.149756500005125,-11.949311210347302
5.8,3.8903048961544364+8.371146628402283E-6i,-44.24930577882746,-11.42245712913134
5.8,3.9191178140533967+1.6118272527245703E-6i,-28.449449381808186,-11.852278335368716
5.8,3.921225488649427-1.6870844380787536E-5i,-8.942542264464265,-12.5871558746243
6,3.1686802296846786+7.864619111782609E-6i,-49.7107841324975,-12.484361842325532
6,3.2878794089390087+4.725841751930584E-6i,-47.79735375697132,-11.99597729364364
6,3.569976717313321+4.454720573259199E-6i,-43.47596946463892,-12.488432775426729
6,3.629682611396378+3.9558039479727796E-6i,-42.0783419995754,-12.233462293577364
6,3.7537687539550886-5.197458948989744E-7i,-45.66078602531829,-11.592621163967307
6,3.8023846536634003-3.6154719679635254E-6i,-41.96483105246511,-10.736961735423513
6,3.8811466676273323+8.350969800982482E-6i,-27.36511076806474,-11.667768778046868
6,3.8834234794211104-1.1374455366201086E-5i,-7.927822091660946,-12.1956403455469
6.199999999999999,3.157501779151521+5.579625470745225E-6i,-50.5742374986442,-12.702994389990431
6.199999999999999,3.249182580164758+7.203175210915704E-6i,-46.088468409435535,-11.562710485101286
6.199999999999999,3.5462924361353045+2.4240546090823794E-5i,-42.87706331162443,-12.493620612800118
6.199999999999999,3.59874002352435+1.1767232618969376E-5i,-42.70500591436003,-12.095500759429706
6.199999999999999,3.725378027128053+3.3288110367977026E-6i,-45.06605501827019,-11.45435323232988
6.199999999999999,3.754185498835185+6.045031182974591E-7i,-46.87573937465209,-11.913904846551315
6.199999999999999,3.850123370749648+1.186322990544219E-6i,-15.934232945682956,-12.270509586928137
6.199999999999999,3.8532065162312996-2.09174238525581E-5i,-20.94018614685517,-12.144705770889063
6.3999999999999995,3.14675395829147+1.984494939817488E-5i,-49.89025015908682,-12.534528422407465
6.3999999999999995,3.2116461177085194+4.973493780963897E-5i,-47.00133558658075,-11.791792007722744
6.3999999999999995,3.520483986680595+1.233828800770986E-5i,-41.9555686312252,-12.37667031447736
6.3999999999999995,3.563268951205443+2.9473298952932736E-6i,-44.070351603737535,-12.216543347112436
6.3999999999999995,3.65434478134849+3.518325029266857E-5i,-42.48761279899083,-10.765990648732846
6.3999999999999995,3.7528977471109117-5.296649072378124E-7i,-44.58868934827672,-11.359233075992213
6.3999999999999995,3.8215059583857633-4.648792881475072E-6i,-7.109866516505484,-12.129816781229266
6.3999999999999995,3.8248333436542485-1.4330980560225215E-5i,-24.301567672149325,-11.202501134604967
6.6,3.137200629433009+2.072870254997867E-5i,-49.117898279404464,-12.343466530724104
6.6,3.179069388947799+1.9561434851070755E-5i,-46.47800358883765,-11.66174831152304
6.6,3.4976604622432594+2.0694920939955672E-5i,-41.33915325610322,-12.341395990006749
6.6,3.531897206132423+8.731500232550403E-6i,-43.79220304835323,-11.937102730411478
