% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 13:20"
% Table,Table 2 - mYZ
% scale,Eigenfrequency (GHz),py (1),N (1)
1,3.7432566576803694+1.1223624305120796E-5i,-46.36256625826789,-11.595772616743673
1,9.046792418196883+2.5627330675791715E-5i,-47.559961863930624,-11.911559014296088
1,9.968680523242709+1.2613143344828257E-5i,-47.57293918919505,-11.893753949937604
1,10.932457535737223+3.323112416557941E-5i,-0.08509292689603093,-11.592967899986634
1,15.438063019849915+2.313313948295633E-5i,-48.40891552614186,-12.103223314625469
1,16.14639595976857+7.318146329129108E-5i,-0.0635450769474371,-11.704158997641347
1,22.51659555770023+6.907899924503064E-5i,-45.634859704821366,-11.601827558751332
1,22.574115256548197-1.9708738096637193E-5i,-0.7277148866572251,-12.06321699932843
1.2,3.745908927437222-2.4563263385590504E-6i,-47.514414928116345,-11.889074623691496
1.2,7.465040035214527-1.930853718935471E-5i,-49.29975654224535,-12.384146602537408
1.2,7.838715136861623+1.5281885032909304E-6i,-48.755696086130435,-12.192535631443718
1.2,8.807977812265916+1.1197095197068156E-5i,-0.22448594340467684,-12.061984136130269
1.2,11.745876786851843-3.0998003592528585E-6i,-49.5610547089888,-12.407001433956252
1.2,12.43981978729122-7.093103108292747E-7i,-0.16951057796425034,-12.507274541512933
1.2,16.575999101076953+1.0863413437925758E-5i,-45.94147774442399,-11.909742834998244
1.2,16.766807956287188-1.3564982848722919E-5i,-1.854355431340817,-12.484634614450941
1.4,3.7462266294717814-2.5505910154135824E-8i,-47.56996428690601,-11.904785637102542
1.4,6.528141671602197-5.878574531835394E-8i,-48.61758907343057,-12.293442490439668
1.4,6.558215401375553+2.0930573272744707E-6i,-48.493717562855444,-12.125785279789365
1.4,7.513403097060278-4.465098229521084E-7i,-0.4975105931089841,-12.038790592395598
1.4,9.541219263292776+5.859985620942266E-7i,-49.93174847410873,-12.486958777312973
1.4,10.24905419683567-7.969889947064826E-7i,-0.14452183906166213,-12.069706221363155
1.4,13.076233791487372+4.168719203512446E-6i,-48.21824462074542,-12.05385393250272
1.4,13.192311555874733-2.7079005321792007E-7i,-0.018204354419135566,-12.277481848820516
1.6,3.740155387812777-4.371745525418811E-7i,-47.32877924763423,-11.84976956946515
1.6,5.712681696614554+1.105571976473674E-5i,-49.23492176523006,-12.315330091273893
1.6,5.8974949454496235-7.697527127118849E-7i,-47.45749079138108,-12.14198523046844
1.6,6.6728765017391884+9.212975558179845E-6i,-1.0598075168245606,-12.122842987127779
1.6,8.077825788288864-5.093016468135428E-6i,-48.885229240331746,-12.23394784493803
1.6,8.812524382350933+1.559585056895389E-5i,-0.30498978660980675,-12.363652888836333
1.6,10.737659098461712-2.740587648224334E-6i,-45.57156605927671,-12.014426908293677
1.6,10.870049009672194+3.9445966899556195E-5i,-2.8880842894651386,-12.61466937663567
1.8,3.7405055994405134+2.0588234694731392E-7i,-47.889622557653766,-11.992822461222156
1.8,5.14627215595803+6.669427184183776E-6i,-49.81686304058457,-12.460950619010237
1.8,5.455622619223-4.309887374595537E-6i,-46.99208753524277,-12.23543285180267
1.8,6.096609874023797-8.892285528546805E-7i,-1.7562655688042452,-11.663088280899503
1.8,7.096729825299129-9.692457619672131E-6i,-49.83769631546495,-12.471096042843598
1.8,7.794209294124219-1.3273086669913837E-5i,-0.29987822333178327,-11.498667151467032
1.8,9.1426305347721-1.635080806020469E-5i,-48.019795708395094,-12.015388730613267
1.8,9.312397262192645+1.5955131539615743E-5i,-0.04791752027617274,-12.234396749850726
2,3.7392037008862147-4.727730286372007E-7i,-46.41710116458866,-11.626926132458134
2,4.736939058031541+1.5039257772234011E-5i,-47.45699560315933,-11.871894610739767
2,5.140463939855263-3.1678757749076926E-6i,-44.93090896922026,-11.972922931357687
2,5.687393164669319-1.2297452983236081E-6i,-2.7847611187504935,-11.706111727985022
2,6.385650603730692-3.260952066895561E-6i,-48.401609576130575,-12.11793890796872
2,7.080795385444703-2.652705087976306E-5i,-0.44917375851448715,-11.863514687692103
2,7.978985575739367+8.49007295999056E-6i,-46.26502451664818,-11.59086212564331
2,8.18393759790327+1.40925217938193E-5i,-0.07755925072063673,-12.181645499334143
2.2,3.7429643580897576+1.9567303210233216E-7i,-47.08565674671997,-11.798202316921735
