% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 14:44"
% Table,Table 3 - mXY
% scale,Eigenfrequency (GHz),py (1),N (1)
5.6,3.198767270924621+9.791740729254436E-6i,-49.251653657561114,-12.593952733272728
5.6,3.383714558439245+1.2683125034048033E-5i,-48.483215295845206,-12.426680008659558
5.6,3.635191453888753-1.3529393242935223E-5i,-6.501056005340435,-12.351874847292938
5.6,3.704738323458539-1.608117184379834E-5i,-11.116511809030714,-12.22849634871744
5.6,3.7584654295728166+1.6075410692968767E-7i,-46.007116469281534,-11.701298704390991
5.6,3.960639965602851-7.661581610728439E-6i,-30.149572732045126,-11.86849866453663
5.6,3.9630054940466284-1.0503221004807205E-6i,-26.52060272679388,-12.020001582340873
5.6,3.9838650146500565-3.985181077366986E-6i,-41.73832847590001,-11.162650369890802
5.8,3.1837753076574473+1.6593984732806025E-5i,-50.728197394364145,-12.973261250918453
5.8,3.334855951618444+3.3079434476023904E-5i,-49.01907295340938,-12.549432689802057
5.8,3.602596086723754-4.045454812171009E-6i,-7.464753178955281,-12.901326534459113
5.8,3.6698200102267853-4.423473631227159E-6i,-10.216542090553556,-12.631136617680726
5.8,3.7557339046630758+1.0708345227497498E-6i,-47.00134034733343,-11.977012293369059
5.8,3.8903048961544364+8.371146628402283E-6i,-43.73936507926859,-11.470198757511474
5.8,3.9191178140533967+1.6118272527245703E-6i,-19.30115061376377,-11.873075469068516
5.8,3.921225488649427-1.6870844380787536E-5i,-41.36659213196945,-12.644718458509105
6,3.1686802296846786+7.864619111782609E-6i,-48.87066301912743,-12.509984490415158
6,3.2878794089390087+4.725841751930584E-6i,-46.96197878303047,-12.026877855953899
6,3.569976717313321+4.454720573259199E-6i,-7.7510351818526875,-12.46972965119331
6,3.629682611396378+3.9558039479727796E-6i,-8.39213259572987,-12.204201637320262
6,3.7537687539550886-5.197458948989744E-7i,-45.40726131710783,-11.594901763179429
6,3.8023846536634003-3.6154719679635254E-6i,-41.22628908748045,-10.744647398583327
6,3.8811466676273323+8.350969800982482E-6i,-19.348596295578872,-11.668227708567057
6,3.8834234794211104-1.1374455366201086E-5i,-40.68709378976988,-12.19854213500895
6.199999999999999,3.157501779151521+5.579625470745225E-6i,-49.79372735423385,-12.748253573268524
6.199999999999999,3.249182580164758+7.203175210915704E-6i,-45.38200244914872,-11.613985599807904
6.199999999999999,3.5462924361353045+2.4240546090823794E-5i,-8.375947898394699,-12.514581635729277
6.199999999999999,3.59874002352435+1.1767232618969376E-5i,-7.306268092124483,-12.129731562170665
6.199999999999999,3.725378027128053+3.3288110367977026E-6i,-44.35259721101177,-11.48496660321319
6.199999999999999,3.754185498835185+6.045031182974591E-7i,-46.61340592804488,-11.919454698460315
6.199999999999999,3.850123370749648+1.186322990544219E-6i,-32.98938481026029,-12.244856582478329
6.199999999999999,3.8532065162312996-2.09174238525581E-5i,-27.64069230541371,-12.168751480547666
6.3999999999999995,3.14675395829147+1.984494939817488E-5i,-49.04631123376666,-12.566492846895912
6.3999999999999995,3.2116461177085194+4.973493780963897E-5i,-46.238133343964826,-11.835081423310227
6.3999999999999995,3.520483986680595+1.233828800770986E-5i,-8.875554618403735,-12.403407155608335
6.3999999999999995,3.563268951205443+2.9473298952932736E-6i,-6.608400019270095,-12.260988235717852
6.3999999999999995,3.65434478134849+3.518325029266857E-5i,-41.831683074837095,-10.798662834107464
6.3999999999999995,3.7528977471109117-5.296649072378124E-7i,-44.389026058900455,-11.377249602761227
6.3999999999999995,3.8215059583857633-4.648792881475072E-6i,-41.31236668392681,-12.171430916637869
6.3999999999999995,3.8248333436542485-1.4330980560225215E-5i,-20.69585547337142,-11.236153174209493
6.6,3.137200629433009+2.072870254997867E-5i,-47.96104718175459,-12.291762664372333
6.6,3.179069388947799+1.9561434851070755E-5i,-45.332545557244025,-11.601257443584988
6.6,3.4976604622432594+2.0694920939955672E-5i,-9.296364242306055,-12.29766366965342
6.6,3.531897206132423+8.731500232550403E-6i,-5.717855782300677,-11.887638092355438
6.6,3.5875199578960006+5.398980737473419E-5i,-41.19908515744903,-10.616450823768185
6.6,3.7521466850718874+2.9663247755442446E-6i,-44.49318761349255,-11.439794932056355
6.6,3.7941620332407844+2.316556445674005E-6i,-40.71946346130893,-12.155499655312603
6.6,3.801399999006857-3.4257525166611784E-5i,-22.55849032987836,-11.158926879735882
6.8,3.127084800872675+2.221176043005196E-5i,-49.701321078621135,-12.737501992094725
6.8,3.145489155088485+3.9930036304682505E-5i,-47.12910028009389,-12.052908501745428
6.8,3.475286917032887-8.72604615179196E-6i,-9.901674399119864,-12.3401018716323
6.8,3.4982148024486217-4.2686714590831946E-5i,-5.502439832680498,-11.981167842833536
6.8,3.5245818152080948+4.174075190277857E-6i,-43.29518353269179,-11.156932714227716
6.8,3.750236948828632-2.2747292513557732E-7i,-45.57032686893612,-11.734771191326033
6.8,3.7665947719082418-2.2038076750281567E-5i,-42.82605592818444,-12.689282143718902
6.8,3.774618407858998-2.5779449171627913E-5i,-26.22537709453776,-11.375669510623371
7,3.115483588937208+3.896587405127992E-5i,-46.72924676096519,-11.966045565959455
7,3.117299771895446-2.32099876721532E-6i,-45.23872057777417,-11.60492297869339
7,3.449400049967503+1.9506727570442847E-5i,-10.065749699905922,-12.074387628414593
7,3.4615784122596143-2.0225861061570324E-6i,-20.850732671116482,-11.530873103899106
7,3.4663518285210975-2.3695336066092773E-5i,-28.59603717381492,-10.593835124474086
7,3.7409599886186657-3.824700728543996E-6i,-40.364565230272355,-11.752796087055833
7,3.7460731354125603-3.818018390712226E-5i,-33.316374988064766,-11.35148390884236
