% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 14:10"
% Table,Table 1 - Surface Integration 1
% H0 (A/m),Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
50000,3.5006766912386516-3.4371275015900526E-7i,9.518300165464813E-5,0.2482859671090878,1.4523815387362403E-4,2.8579208520910772E-5,-8.913963186464055E-5,-7.12154931804788E-5,2.88747834446533E-4
50000,3.9344691314077243+9.432398434337508E-7i,-1.0897157290920549E-4,-0.27737723215015775,-1.3617890729203708E-4,-2.2102633152530198E-5,7.543202798880525E-5,9.152801982809924E-5,-3.106418368383238E-4
50000,5.060124130239557+9.558689913914013E-7i,-0.09737658777182583,-9.460931861799165E-6,-7.696831503328913E-4,4.914902279757516E-5,4.8200077579610805E-8,2.2517252091867903E-5,3.009819050928702E-5
50000,5.537650091200142-3.4023545011809176E-6i,-0.0010522189828625018,-3.7796521757560956E-4,-0.32437926518965776,2.2475794381206262E-4,2.4038537410432946E-4,-4.596233413803667E-4,-1.5227552401596598E-4
50000,5.966048805926748+2.798280090842737E-6i,-0.6086141284330389,-3.1793681979534055E-5,2.7951188976938976E-4,-4.771832031336102E-5,1.6157045314202736E-4,1.2568729070240117E-4,5.160283574744777E-5
50000,6.164262126782809+1.1796058072624907E-6i,1.2544133605307727E-4,3.954231863783424E-4,-0.2810479977264535,4.5165884740180684E-4,0.001572350191953291,-3.1741969204339334E-4,-1.2752904720098594E-4
50000,7.422235661884807+8.098583414441638E-6i,0.0071435666774416475,0.32755390443979193,-0.003742509935123516,-0.002836107438986867,-8.810645670177058E-4,1.6359187229544688E-4,2.452367071647891E-4
50000,8.363231896208989+1.233041079726513E-5i,2.178655113120976E-4,0.23573542782976556,-1.4268305937710393E-5,-4.7009940713801777E-4,1.9684787847443729E-4,3.8373639379436996E-5,6.962022184977332E-5
50000,8.678046447421757+3.957035097996212E-6i,-2.041310169873053E-4,-4.098365872206241E-4,6.108609804166998E-4,0.1592005934721894,4.143026761776744E-4,0.0010828278413632464,-2.8183941626200526E-5
56600,3.73110093345737-3.057132429005252E-7i,1.5598364616724065E-4,0.2483714287481979,1.1462466820647807E-4,3.406947878223411E-5,-8.689577928199595E-5,-7.208792293475933E-5,2.823190627678288E-4
56600,4.16688085309337+3.284543309962332E-6i,-1.6649965148395678E-4,-0.22561061321106882,-5.960001411375485E-5,-7.008332540454753E-5,7.57519574873691E-5,7.03969182221846E-5,-2.767981202686166E-4
56600,5.31188385597993-1.119765419005771E-6i,-0.07547961206376311,4.7022874656852293E-4,-6.617787957537373E-4,2.8191514495296154E-5,-3.4986590459016565E-6,3.4066488298335284E-6,3.1311172839270727E-5
56600,5.767131840371575-2.952200790486647E-6i,-0.0010298346449711872,-3.2766927686366844E-4,-0.3471028836389345,2.64933326482155E-4,4.0403968560393514E-4,-4.5543361331807134E-4,-1.7260243712498386E-4
56600,6.206673341496291+5.207046764851023E-7i,-0.6125324332567192,6.193043791964774E-6,2.3913021628671233E-4,-4.365511217811085E-5,1.614630075153807E-4,1.339634373600626E-4,5.267184551358881E-5
56600,6.394517138807703+2.601639620415524E-6i,-6.757573242581216E-4,2.0203089206016414E-4,-0.33396533578465143,4.0015845449158235E-4,0.0012334651705628926,-4.2608874389734734E-4,-1.31284615677685E-4
56600,7.654578776498241+1.1110752796256325E-5i,-0.0042691394068965615,-0.2944693650017642,0.0056934199719365875,7.354733492109231E-4,0.0011192146076229432,3.139637444843751E-4,-1.1137579031751789E-4
56600,8.605031525129444+9.285530648046915E-6i,8.441642724474623E-5,0.2634724462452085,-9.552519680065729E-5,-4.685687670897497E-4,1.9050749392950146E-4,2.991836576940334E-5,1.0542171571818615E-4
56600,8.906987921596938+5.399330362643252E-6i,-1.856010676743948E-4,-4.884895254191347E-4,7.383514965950831E-4,0.18190111888731586,4.589542273610308E-4,0.0010723301358904324,-5.4316525185933126E-5
63200,3.961763269777725-3.2115180638343495E-7i,1.2012329841456113E-4,0.24768421867178786,3.13087684111108E-5,3.736502051528857E-5,-8.69943822559422E-5,-7.008199672822877E-5,2.8634414265562885E-4
63200,4.399436909529892-1.8399562476887472E-7i,7.58729036962822E-5,-0.3481123715246096,9.413965317044154E-6,7.452208218682568E-5,4.302353951647573E-5,1.2449730693877734E-4,-3.191726884284916E-4
63200,5.562172860710285-1.570646975293014E-7i,-0.2948371776502406,6.488267542043981E-4,-6.915532710542741E-4,2.1051841386700518E-5,5.435926219634995E-5,5.900075837041544E-5,4.6007765355424316E-5
63200,5.997036777005688-3.3072608027445098E-6i,-0.0011220970803331525,-4.6374537338810386E-4,-0.31530562040195637,8.864592074829857E-5,2.3855131420432818E-4,-4.511690231345132E-4,-1.4887807795181982E-4
63200,6.446852999106675+5.687154139982122E-7i,-0.6067931483606397,1.4814096148564493E-4,-8.9004995946657E-5,-2.2126025239365944E-5,1.4544473840770296E-4,1.3509007883932405E-4,5.4857406740608615E-5
63200,6.625223685783397+4.624152610938428E-8i,-8.676645930544774E-4,-6.374601852240623E-4,0.21222062080708634,-5.439849130762192E-4,-0.0018048877386606643,1.8561259692658575E-4,1.1507015943386864E-4
63200,7.887145696490205+6.2590408437967376E-6i,0.005770729033157358,0.3332313638959704,-0.003837011797015435,-0.0022444027883655048,-0.0011936742230429075,1.6861483234869884E-4,2.624613451540652E-4
63200,8.846533615635533+9.006200490237739E-6i,-4.9406824855942E-5,0.2771831517242156,-1.4057699882010782E-4,-4.7508622649978036E-4,1.5488916983211155E-4,6.720307235535001E-5,1.1963867657712387E-4
63200,9.136505384450368+2.490887212345183E-6i,-1.556299495128545E-4,-6.291863150709498E-4,7.32451394291542E-4,0.2673846222508635,3.494825102697204E-4,9.79737803400265E-4,-1.3205418115274108E-4
69800,4.192424889559286-3.091420907281687E-7i,1.216742234798111E-4,0.2480975501244599,4.94352109384568E-5,4.052578224670892E-5,-8.793581754417856E-5,-6.732197191466386E-5,2.871783484936142E-4
69800,4.631972738736932+2.524455028157876E-6i,-1.5531380434335467E-4,-0.2367881852455989,-1.979296573723146E-5,-7.092000561531783E-5,7.845751826588255E-5,7.081457338910633E-5,-2.8529632559239315E-4
69800,5.81096984732428-6.745857962946926E-8i,-0.07684928317376168,7.435708579443829E-4,-7.870419814278728E-4,3.3302295717962976E-5,-1.3587934448361418E-5,1.455444345794922E-5,3.0111439507896382E-5
69800,6.2269279973107645-2.203997542761472E-6i,-0.0010634438343504503,-2.620516612121358E-4,-0.34837062821669795,2.0331540845332013E-4,3.879963805763752E-4,-4.669471261869069E-4,-1.7040957906291033E-4
69800,6.686445853339074+1.5935891399637806E-7i,-0.6191089685232821,5.331110871421843E-5,3.124267480611242E-4,-4.98588431436378E-5,1.620537507666104E-4,1.288455359859785E-4,5.1784653884109196E-5
69800,6.855947286422469+2.9602022164756273E-6i,0.0012597874691096579,7.085313909630623E-4,-0.1739470302741005,5.613811206775231E-4,0.0019484526252290326,-1.1303651581455096E-4,-1.0137419859412539E-4
69800,8.119616420673987+4.691544443673599E-6i,-0.005176469980603738,-0.334984341400183,0.003763292782685421,0.0025606938735951265,0.0011279957047818695,-1.7179589220199312E-4,-2.7602282452979753E-4
69800,9.087415998820417+9.755325441363549E-6i,-6.469549129489877E-5,0.2745761937396229,-1.2558097943404892E-4,-5.203016428527754E-4,1.6351995833648435E-4,7.45658253644488E-5,1.1821658962197816E-4
69800,9.365975867801987+4.813297410877778E-6i,-1.821988056753009E-4,-4.740490552958562E-4,7.586102450116011E-4,0.19719525643330243,4.98297903377614E-4,0.0010626905373255064,-6.330946323970948E-5
76400,4.4232525474498035-3.115160495910824E-7i,1.5074790402895872E-4,0.24789713850521997,5.939639741688355E-5,4.52986772378926E-5,-8.874583470858932E-5,-7.249522825263777E-5,2.840186847713137E-4
76400,4.864509038984327-1.6091287202440702E-6i,-1.2236768594286839E-4,-0.2663034404836702,1.3249147196587065E-5,-4.635374604021143E-5,7.650905394837693E-5,8.930768671958693E-5,-3.012441695473914E-4
76400,6.058386304476236-1.5738928486150056E-6i,-0.1325577933556253,6.201497684490514E-4,-7.679015524449358E-4,4.8454458133831904E-5,1.271083910873566E-5,2.461428423770749E-5,3.074730035299999E-5
76400,6.457166487297884-4.718765950711168E-6i,-0.0010353914297486738,-1.9364878634013123E-4,-0.35078222845856855,2.0710925408983283E-4,4.260693140649244E-4,-4.613914831282766E-4,-1.695883453239825E-4
76400,6.925432250888353-1.5102491187571768E-6i,-0.6223290687032148,8.135060072362796E-5,2.4832518348239706E-4,-5.283239090017156E-5,1.6326224523615193E-4,1.3468544318591893E-4,5.684305838809386E-5
76400,7.086975800837225-3.2451915032360122E-6i,-0.002844567868402547,-5.25457999925392E-4,-0.27930950859202847,-1.4155980036655122E-4,-2.690823943265351E-4,-5.246835224652817E-4,-5.7795306521713845E-5
76400,8.352137670305341-9.778072334816768E-7i,5.449897120031918E-4,0.27297225323047725,-0.005231802759450745,-4.452527930679325E-4,-0.001321054107412441,-3.208823085474456E-4,6.641931128371323E-5
76400,9.327713014404537+7.089873089676242E-6i,-8.122243852477734E-5,0.26772428986557123,-6.051036540800767E-5,-5.249774023147174E-4,1.7354787136501015E-4,4.863458940695667E-5,1.1045094823247527E-4
76400,9.595945021795565-2.5169895927184213E-6i,-2.011211514904236E-4,-5.342667634923633E-4,7.180638760625994E-4,0.20643128639539823,4.676484572885359E-4,0.0010538486042138873,-7.180290359987876E-5
83000,4.654112275014303-2.8640476557646383E-7i,1.0470102692502634E-4,0.2609048757078212,5.381986804781585E-5,3.3578206308947454E-5,-9.081222151644696E-5,-7.760030874224851E-5,2.9679719936251457E-4
83000,5.096902574528139-2.5833035238227727E-6i,-2.442299123865931E-4,-0.135063257575044,-4.28444375803634E-5,-1.1615859400764435E-4,8.966683764177709E-5,3.60022530609597E-5,-2.170611904580873E-4
83000,6.304539354193843-5.113793272911698E-7i,-0.08911632974565911,5.886311336968482E-4,-8.844448093035989E-4,4.584633398899542E-5,-5.211603135196881E-6,1.811642292419817E-5,3.360949193217376E-5
83000,6.6874310752803625-2.1130347113698787E-6i,-6.920124890337091E-4,6.555653747619179E-5,-0.3476757916644629,3.381857711926209E-4,5.349810664809394E-4,-4.2582446579457364E-4,-1.751713650990151E-4
83000,7.16392123105018-6.825199109533617E-7i,-0.6202787924240072,1.4157805626990758E-4,-6.83381250792616E-5,-3.2066552062960106E-5,1.5056634210123927E-4,1.3743057221501234E-4,5.6666248295154696E-5
