% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 16:26"
% Table,Table 1 - Surface Integration 1
% H0 (A/m),Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
50000,3.4620542720715486-5.049342746579506E-13i,1.3094674544231319E-4,0.25213939682255043,7.598089504379403E-5,3.895303720810322E-5,-8.98411832302373E-5,-6.704333896892177E-5,2.8196016071051417E-4
50000,3.961337962982259+2.7394717868172242E-14i,-3.131919428542121E-4,-0.18819152330943192,-6.490251372913002E-5,-8.797890314615719E-5,8.709045732063837E-5,5.198190839514173E-5,-2.445559994566576E-4
50000,5.141768397068644-6.033339671264613E-14i,-0.12691568935226047,4.883880398829025E-4,-8.450576467688273E-4,5.885248203849992E-5,8.20258741553591E-6,2.0942105007284782E-5,2.9079658358129542E-5
50000,5.489344110114091-8.168657786871981E-13i,-8.097312331616086E-4,-2.9770545941210153E-6,-0.35190658019867516,3.633045571411201E-4,5.798886897557034E-4,-4.3506512622262333E-4,-1.9264334510251714E-4
50000,6.031181162878138+6.986737192412389E-14i,-0.4233162875744494,-2.6690587102654045E-4,0.0024753589117716087,-1.5173150331731244E-4,1.698406010468368E-4,6.954337952286135E-5,2.6824900070282475E-5
50000,6.159204371800797-1.814324717507701E-13i,0.003151470252025091,3.873180755132578E-4,0.32502159523374663,-2.274952714890742E-5,-2.730069112980811E-4,5.450409785579131E-4,9.955210659181481E-5
50000,7.4508695007374985-5.216729913244269E-13i,-0.009031449654737475,0.002296219496142507,-0.0043238198827537065,0.0013340770862235879,-2.1170674106232078E-4,-6.051579586329439E-4,-1.8581430612321577E-4
50000,8.47748010317069+2.0789540585725286E-13i,1.7407366503183292E-4,0.3598444052351441,-2.1734609148480263E-4,-3.8160409677859774E-4,-1.2998352074532088E-4,3.757448214386462E-4,2.993957479077764E-4
50000,8.626834510395097+2.4030752211950842E-14i,1.444339127001875E-4,-1.578318195227555E-4,6.229762209279453E-5,0.32682194355764366,-4.202938311980767E-4,5.90035214365005E-5,-2.554143762894902E-4
56600,3.694216436187142-2.1763986039898484E-13i,1.3710270357561485E-4,0.2470812173792953,7.73153489615815E-5,4.359922870378216E-5,-9.073637501192382E-5,-6.518918353259459E-5,2.7918687029298525E-4
56600,4.193562368292457+2.0609060314695086E-13i,2.908468070013675E-4,-0.2299735897740127,1.415538519768661E-4,1.757852117110451E-4,-3.2206519825458994E-5,9.818009337287417E-5,-1.2647064761287598E-4
56600,5.390642647018143+5.128973574625512E-13i,-0.4632048141080059,-2.188190965900508E-4,4.8010970677952926E-4,-8.24898346990877E-5,1.3493010219286353E-4,1.0684143604591834E-4,3.2849750529113505E-5
56600,5.7215361909074565-3.132718024905145E-13i,4.430207832173157E-4,6.934990360218707E-4,-0.0815638169351839,4.700518289937006E-4,6.963663170407789E-4,-1.5210319992898495E-5,-6.67708217920689E-5
56600,6.269617990470178+1.3506737277741984E-15i,0.06978290264503341,-4.763398960796637E-4,0.0032591455884098093,-1.5285140205387277E-4,6.415830014734488E-5,-5.153072180302657E-5,-2.173081607919308E-5
56600,6.391352923498264-1.0398271866155239E-13i,-0.003960313454494203,-6.81202990738823E-4,-0.22595353639440213,-2.3933651401406288E-4,-9.305427204584758E-4,-4.535452451657094E-4,-3.693940406760906E-5
56600,7.683069955936176-1.2130541413907834E-13i,0.011669705576363449,0.22034634235983636,0.0019139336747223301,-0.0019586411654028742,-4.082704434044605E-4,0.0010291863203060777,3.177694097802572E-4
56600,8.714947124923272-3.959584369078615E-13i,-2.628604694371583E-4,-0.22776256148938318,2.4388210265214084E-4,-2.0374433050995613E-4,3.143020229822191E-4,-5.374098310263761E-4,-2.8835654381976095E-4
56600,8.859064029531043-4.295914846144908E-14i,-1.7078699102104195E-4,6.340851055408295E-5,1.0179682108216363E-5,-0.3122969539532282,4.715366084408007E-4,3.9432709889779004E-5,2.4849431385626935E-4
63200,3.926377238681999-8.927519850007841E-13i,1.464242933428793E-4,0.2386318385017442,8.025786114952677E-5,5.020906835405483E-5,-9.193207220303061E-5,-6.190097843928482E-5,2.743328710348593E-4
63200,4.42578150921051-2.2712187419206525E-14i,9.786094562496123E-5,-0.3394572909337017,1.0003074551444413E-4,1.1800191590841745E-4,2.1428678939545733E-5,1.2800974761078572E-4,-2.719160646353246E-4
63200,5.6380918155853585-3.3091508297162777E-13i,-0.5608906330155594,-1.833482295502171E-5,1.3191692256666484E-4,-6.273343399958151E-5,1.5016110357538278E-4,1.2548659299008101E-4,4.903295260040451E-5
63200,5.953725944044745+6.524739037458239E-14i,-0.0011016536339773758,-6.956466675218957E-4,-0.17878971871564303,-2.005728202892076E-4,-2.714153229657785E-4,-3.069178820071454E-4,-7.54532732053158E-5
63200,6.507601170961818+1.6325667891857187E-14i,0.2648458478939575,3.799623356710718E-4,-0.0033230502677306533,1.7074332635289756E-4,-1.4762148741443286E-4,-2.7015133464135575E-5,-1.0233161989409274E-5
63200,6.623501328489407-1.0661532029613406E-13i,-5.211906146899994E-4,3.1724175545892194E-4,-0.3161372910327138,4.558997894284642E-4,0.0023117351085155512,-4.042127912574274E-4,-1.4760967700219564E-4
63200,7.915267956137647+3.1931055105719967E-15i,-0.01154517958169065,-0.247123157363004,-0.0014604381234680516,0.0019881017831080644,4.918890292038965E-4,-0.0010505611138887155,-3.2497879042311375E-4
63200,8.952172563177022-2.562234478021819E-13i,-2.6444752653960576E-4,-0.1790565136147169,2.318265518572346E-4,-3.455761722604866E-4,3.334522348229294E-4,-5.557219995473425E-4,-2.619397945924302E-4
63200,9.091290712997885-2.473861564633903E-13i,-3.0525282633738144E-4,-6.126418936542463E-4,6.117238475741177E-4,-0.06122116437910417,7.099104146845063E-4,8.533483842008062E-4,9.206651665112695E-5
69800,4.15853682434887+4.4258365876158046E-13i,1.3611433847547416E-4,0.24909938668473477,7.402125800956563E-5,4.4639994570645856E-5,-9.094102126844975E-5,-6.668006389790134E-5,2.8064312725961654E-4
69800,4.657995887134106+1.266223225930144E-13i,-1.1944665061541196E-4,-0.3269525872655523,2.6174865770161956E-5,2.117811767571872E-5,6.593327293776178E-5,1.1260038145249405E-4,-3.1750480557563357E-4
69800,5.884295542579431+1.6465427181961608E-14i,-0.046167144579435354,4.8734559613172973E-4,-0.0010040429389622685,7.360709496341814E-5,-1.3960663953337165E-5,3.5524273161573585E-6,2.1720006534875792E-5
69800,6.185913533943216-4.7013881887266496E-14i,-0.001214612236814269,-4.263369762806154E-4,-0.31967784500382596,9.660543558918579E-5,1.9869153680260527E-4,-4.473402582025812E-4,-1.6079717877223742E-4
69800,6.745178635986021-9.48975383423436E-16i,0.24045778771084178,3.9350713604871984E-4,-0.0035686045775361894,1.7375014067970616E-4,-1.4575168776485435E-4,-2.081170406637785E-5,-8.005533935987367E-6
69800,6.855649599644298-7.948268518047692E-15i,0.0038532517840105906,8.324878225683023E-4,0.023373596893140152,4.98427800642291E-4,0.0024023387374032495,1.8510280743133425E-4,-5.878666980820988E-5
69800,8.147463658034452+2.47173717559297E-15i,-0.011427731885752891,-0.2508992265611793,-0.001390081238676276,0.0019949096617883906,5.048058721135322E-4,-0.0010472938413132048,-3.2416088158559623E-4
69800,9.189172708710275-8.585922431582567E-15i,-6.213074716324083E-6,0.29560397530213756,-7.390423672467974E-5,-8.048326767974438E-4,1.3015883745582207E-4,1.377599973342678E-5,1.454868089833208E-4
69800,9.32351469950182,-2.3348500732865186E-4,-8.300176471510261E-4,7.660960709372779E-4,0.2102788144408964,4.672272938193976E-4,0.0010477992481681632,-1.1219221951787237E-4
76400,4.390695318058528-2.290324876685493E-15i,1.3749468264620516E-4,0.24820711456449393,7.349366012556678E-5,4.629509922241776E-5,-9.125596311645712E-5,-6.659182608033058E-5,2.802616065358387E-4
76400,4.890205941522286+2.1369522083340647E-15i,-3.102541047559845E-4,-0.18426971076608797,-6.478862827398186E-5,-9.332673272960542E-5,8.910892894912443E-5,5.144704119961359E-5,-2.426366215556089E-4
76400,6.129403781455734+6.649626199646922E-15i,-0.06107289586301026,4.875935165926967E-4,-0.0010517568735235743,7.388539604311935E-5,-1.0236723298965785E-5,7.064959158836647E-6,2.2981906325599743E-5
76400,6.418099109860687-7.894089649564936E-15i,-0.0012224036264218573,-3.6771849155052257E-4,-0.33269310456092527,1.4340643620656875E-4,2.753505851141099E-4,-4.560741923265165E-4,-1.6954945072425527E-4
76400,6.98239172255026+2.5010353578324514E-15i,0.5641879539007305,-2.9325702734907103E-4,0.0013965508846688483,-2.1337925154848915E-5,-1.0841022064128088E-4,-1.41601477763797E-4,-5.805375715616703E-5
76400,7.0877977488707975-1.4974193615337159E-15i,0.0044457894717205414,8.162082195434114E-4,0.09252495932338502,4.311883978693376E-4,0.0021197795707022372,2.830519332209359E-4,-3.381187379701768E-5
76400,8.379657205195223+9.337411518757145E-15i,-0.011056300020869997,-0.2897802516280496,-6.107050872045695E-4,0.001999476381449529,6.33155256967211E-4,-0.0010615612402647687,-3.311379812360818E-4
76400,9.425962402483439+2.072687442893758E-15i,3.987297291697002E-5,0.3272821553800547,-1.1418568615529983E-4,-7.636888547290122E-4,7.52521423691449E-5,1.1017914959543274E-4,1.901818027131344E-4
76400,9.555736118840747-1.0580113354778772E-14i,-1.8970021186295012E-4,-8.022754513229528E-4,7.248007130360697E-4,0.26568054190587354,3.4514924574866886E-4,9.878953748758907E-4,-1.5910113726783846E-4
83000,4.6228528280850005+2.772263484063222E-15i,1.364686668683468E-4,0.2494918716767058,7.197736532937738E-5,4.645471467190538E-5,-9.12858138200177E-5,-6.742986575738873E-5,2.811343234034929E-4
83000,5.122412059188295+2.603641892790309E-15i,-3.0751956068475966E-4,-0.1864520491038453,-6.353291443523516E-5,-9.285893846302232E-5,8.947631092184836E-5,5.2555725252580655E-5,-2.4432929784176525E-4
83000,6.373542810321762+3.3040083266814205E-15i,-0.1956989208671541,4.794981505267625E-4,-0.00105349667523776,5.961673654627719E-5,2.5685321683090788E-5,3.7260909528514175E-5,3.46984491700232E-5
83000,6.650282807607723+1.5154681669115406E-15i,-0.0013289437144244963,-5.411316981059393E-4,-0.2811299821392452,-6.95800332046263E-6,1.971575733282601E-5,-4.146009722535529E-4,-1.3573629095022232E-4
83000,7.219276279852603-3.264722175333664E-15i,-0.48889692939961776,-2.164705821102272E-4,0.0028734309560700367,-1.5010360073329631E-4,1.8923066706320383E-4,8.671720191995092E-5,3.5711835790162804E-5
