% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 14:27"
% Table,Table 2 - Line Integration 2
% H0 (A/m),Eigenfrequency (GHz),o (1),e (1)
50000,3.5006766912386516-3.4371275015900526E-7i,0.0035621504732972673,0.4970067532570605
50000,3.9344691314077243+9.432398434337508E-7i,-0.5572227601312018,-0.00427199812146606
50000,5.060124130239557+9.558689913914013E-7i,0.00213650317674404,0.5052386516535909
50000,5.537650091200142-3.4023545011809176E-6i,-0.003978350493096431,-0.6594900868789253
50000,5.966048805926748+2.798280090842737E-6i,-0.4496254312644727,-0.00457374310942043
50000,6.164262126782809+1.1796058072624907E-6i,-0.0962352841920169,9.121906416200108E-4
50000,7.422235661884807+8.098583414441638E-6i,0.004135938162007361,0.016868240985658582
50000,8.363231896208989+1.233041079726513E-5i,-0.0033878969595625254,-0.46054345950339315
50000,8.678046447421757+3.957035097996212E-6i,0.0020561627627670533,0.6312156428395952
56600,3.73110093345737-3.057132429005252E-7i,0.003429907646163477,0.49724651586500623
56600,4.16688085309337+3.284543309962332E-6i,-0.44898230645645637,-3.8972287577766415E-4
56600,5.31188385597993-1.119765419005771E-6i,0.0028651351306692354,0.5214787238188517
56600,5.767131840371575-2.952200790486647E-6i,-0.003441718159693937,-0.594830428595221
56600,6.206673341496291+5.207046764851023E-7i,-0.44525361281205217,-0.0014028233258102044
56600,6.394517138807703+2.601639620415524E-6i,-0.3064826674478413,0.0023196127905917435
56600,7.654578776498241+1.1110752796256325E-5i,-0.0035718718808886757,-0.0170783152582897
56600,8.605031525129444+9.285530648046915E-6i,-0.003427128788714276,-0.40335038021902875
56600,8.906987921596938+5.399330362643252E-6i,0.0015397042177676557,0.6067008196410247
63200,3.961763269777725-3.2115180638343495E-7i,0.003216730153339189,0.49591222877129
63200,4.399436909529892-1.8399562476887472E-7i,-0.6937861142367021,0.005057187525728762
63200,5.562172860710285-1.570646975293014E-7i,0.0017308871982912241,0.2843533279772025
63200,5.997036777005688-3.3072608027445098E-6i,-0.003815959801121522,-0.6731670934272954
63200,6.446852999106675+5.687154139982122E-7i,-0.332056091830071,0.00159695669613862
63200,6.625223685783397+4.624152610938428E-8i,-0.09841802113941027,-0.00733898751640246
63200,7.887145696490205+6.2590408437967376E-6i,0.0035205904298855474,0.017167895484344997
63200,8.846533615635533+9.006200490237739E-6i,-0.003526879010004919,-0.37186184891183993
63200,9.136505384450368+2.490887212345183E-6i,-2.7908941404718E-4,0.46618079608703084
69800,4.192424889559286-3.091420907281687E-7i,0.0032207710723446913,0.4967739987878264
69800,4.631972738736932+2.524455028157876E-6i,-0.4712572600062496,2.382445085041402E-4
69800,5.81096984732428-6.745857962946926E-8i,0.0031869934403541697,0.5149948844985629
69800,6.2269279973107645-2.203997542761472E-6i,-0.0032382924362381635,-0.5880457225207238
69800,6.686445853339074+1.5935891399637806E-7i,-0.4531084545395301,0.0010292106949105443
69800,6.855947286422469+2.9602022164756273E-6i,0.18723319086634307,0.007982578139264482
69800,8.119616420673987+4.691544443673599E-6i,-0.0034345299013330732,-0.01716155569355835
69800,9.087415998820417+9.755325441363549E-6i,-0.0035474430976376423,-0.38045010865877565
69800,9.365975867801987+4.813297410877778E-6i,0.001186285871627757,0.5876822094929709
76400,4.4232525474498035-3.115160495910824E-7i,0.003344754354498923,0.4962102297848734
76400,4.864509038984327-1.6091287202440702E-6i,-0.5320772780256321,-9.161177033353565E-4
76400,6.058386304476236-1.5738928486150056E-6i,0.0029569332307547696,0.46279544099293224
76400,6.457166487297884-4.718765950711168E-6i,-0.0030789574888356007,-0.5727026447870913
76400,6.925432250888353-1.5102491187571768E-6i,-0.44571590103875447,0.0017886771316418945
76400,7.086975800837225-3.2451915032360122E-6i,-0.6995187503419346,-0.002348041611535277
76400,8.352137670305341-9.778072334816768E-7i,0.002987426623232914,0.015507089495100903
76400,9.327713014404537+7.089873089676242E-6i,-0.0036817941540021573,-0.3989617985307577
76400,9.595945021795565-2.5169895927184213E-6i,9.661491242905577E-4,0.5751038142952248
83000,4.654112275014303-2.8640476557646383E-7i,0.003175806120434018,0.5228137585370953
83000,5.096902574528139-2.5833035238227727E-6i,-0.26943040014695896,-0.0025720084400773216
83000,6.304539354193843-5.113793272911698E-7i,0.003019260843992675,0.49994375405184094
