% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 16:34"
% Table,Table 2 - Line Integration 2
% H0 (A/m),Eigenfrequency (GHz),o (1),e (1)
50000,3.4620542720715486-5.049342746579506E-13i,0.003267168889113405,0.5060656318126805
50000,3.961337962982259+2.7394717868172242E-14i,-0.3815229624111564,-0.0067127041451788706
50000,5.141768397068644-6.033339671264613E-14i,0.0029677510491090036,0.47838279281603047
50000,5.489344110114091-8.168657786871981E-13i,-0.002088236345589428,-0.41964892175653506
50000,6.031181162878138+6.986737192412389E-14i,-0.7033954273660858,-0.004054375566044117
50000,6.159204371800797-1.814324717507701E-13i,0.6564394514782004,7.042798839079494E-4
50000,7.4508695007374985-5.216729913244269E-13i,4.892491755108065E-6,9.09455075883413E-5
50000,8.47748010317069+2.0789540585725286E-13i,-5.06042042177059E-4,0.205769224530824
50000,8.626834510395097+2.4030752211950842E-14i,-0.005123307891036259,-0.28429273675104044
56600,3.694216436187142-2.1763986039898484E-13i,0.0032062793506652957,0.4957924716211221
56600,4.193562368292457+2.0609060314695086E-13i,-0.46214434528584825,0.005477724410355995
56600,5.390642647018143+5.128973574625512E-13i,-0.003897034102365751,-0.6626585662819167
56600,5.7215361909074565-3.132718024905145E-13i,0.0024928572558185528,0.37247156151741423
56600,6.269617990470178+1.3506737277741984E-15i,-0.5050832667550498,-0.006433435117313665
56600,6.391352923498264-1.0398271866155239E-13i,-0.7021641431706119,-0.004216916244875612
56600,7.683069955936176-1.2130541413907834E-13i,0.0021032449995713924,0.009832416654997208
56600,8.714947124923272-3.959584369078615E-13i,-0.00253967554192342,-0.6134274947979311
56600,8.859064029531043-4.295914846144908E-14i,0.005288623336448577,0.34253530340701743
63200,3.926377238681999-8.927519850007841E-13i,0.003108707242533283,0.4786826932016149
63200,4.42578150921051-2.2712187419206525E-14i,-0.683886602609659,0.0012920762615717292
63200,5.6380918155853585-3.3091508297162777E-13i,-0.0029175823393810933,-0.5067184005391705
63200,5.953725944044745+6.524739037458239E-14i,-0.00404102223037301,-0.683436973855714
63200,6.507601170961818+1.6325667891857187E-14i,0.689737700548165,0.0054023932155227074
63200,6.623501328489407-1.0661532029613406E-13i,-0.22555862044500227,0.00562468379453777
63200,7.915267956137647+3.1931055105719967E-15i,-0.0023564760825058187,-0.01101518424725197
63200,8.952172563177022-2.562234478021819E-13i,-0.003057672381215186,-0.6617182918527017
63200,9.091290712997885-2.473861564633903E-13i,0.0046006972101578615,0.6963856532541309
69800,4.15853682434887+4.4258365876158046E-13i,0.003218674490891986,0.49977790872870065
69800,4.657995887134106+1.266223225930144E-13i,-0.6598779885337352,-0.003127007292177292
69800,5.884295542579431+1.6465427181961608E-14i,0.003296833095347818,0.5407598147756746
69800,6.185913533943216-4.7013881887266496E-14i,-0.003714979169045562,-0.6681163372377265
69800,6.745178635986021-9.48975383423436E-16i,0.6813390257926615,0.005545683276461488
69800,6.855649599644298-7.948268518047692E-15i,0.5280786538988015,0.007365982335378726
69800,8.147463658034452+2.47173717559297E-15i,-0.0023910803993603285,-0.011171561336373691
69800,9.189172708710275-8.585922431582567E-15i,-0.003309357192138702,-0.32213764178564636
69800,9.32351469950182,9.811704880898012E-4,0.5690445367994205
76400,4.390695318058528-2.290324876685493E-15i,0.0032047807354991546,0.49793478170393707
76400,4.890205941522286+2.1369522083340647E-15i,-0.37349792318802005,-0.006678793470793353
76400,6.129403781455734+6.649626199646922E-15i,0.003205590490185272,0.5263285914613819
76400,6.418099109860687-7.894089649564936E-15i,-0.0035403432722363676,-0.6438936482412131
76400,6.98239172255026+2.5010353578324514E-15i,0.15937738758474382,-0.003538597179235632
76400,7.0877977488707975-1.4974193615337159E-15i,0.6098041820350643,0.006625163770346718
76400,8.379657205195223+9.337411518757145E-15i,-0.0027685480007494457,-0.012904739303025544
76400,9.425962402483439+2.072687442893758E-15i,-0.0028106824194553464,-0.21289679798382496
76400,9.555736118840747-1.0580113354778772E-14i,-1.7041613295810625E-4,0.46900290279482654
83000,4.6228528280850005+2.772263484063222E-15i,0.0032149148764265686,0.5004884435492692
83000,5.122412059188295+2.603641892790309E-15i,-0.37784743995358505,-0.006628244473614157
83000,6.373542810321762+3.3040083266814205E-15i,0.0024589132221324995,0.39853676255126974
83000,6.650282807607723+1.5154681669115406E-15i,-0.003987438403061318,-0.7011441062879868
83000,7.219276279852603-3.264722175333664E-15i,-0.6905082890912932,-0.0032938561128509737
83000,7.3199457872319575-8.78218377344139E-16i,-0.7047246696589635,-0.003166627751650198
83000,8.611848729415259+7.288020275130762E-15i,-0.003205726621556495,-0.014882362106069982
83000,9.66255519524762-2.5431093997113584E-14i,-0.003500721527938476,-0.36807636398886945
83000,9.787955092624088-3.217647830031253E-14i,0.0017124082860577221,0.6201309978010772
89600,4.855009448775705,0.0031987789451681536,0.49810613794341335
89600,5.354614581968113-1.3605654772456529E-15i,-0.41445173125443646,-0.006372661663261884
89600,6.616819814922242-2.6062887023798693E-15i,0.0030875131982988253,0.508540809551815
89600,6.882464751031936+7.374730508818539E-15i,-0.0027992178211323107,-0.5326132029484987
89600,7.4558635586072715-8.617816854920111E-16i,-0.20300008789002233,-0.005773375066088504
89600,7.552093725046795+8.845775749216628E-15i,0.424419839899159,0.00782030673005895
89600,8.844038351902226+1.4325240290915006E-15i,-0.0013637826481499938,-0.006453349287646134
89600,9.898963486274189-1.1528303227617257E-14i,-0.0032200377380592654,-0.3022887255715838
89600,10.020171734904757-1.342667666995032E-13i,8.369121831706278E-4,0.556423048482387
96200,5.0871652627273+8.597672856132395E-16i,0.0031953481365865153,0.49803520732302825
96200,5.586813813084676+1.354607119105172E-15i,-0.5468467351011724,-0.005156665357761436
96200,6.859326429795251-3.940049539698869E-15i,0.003044617358666474,0.5023672421876649
96200,7.114645053310356+8.178819756278666E-15i,-0.003038981379722874,-0.569562635518067
96200,7.6921809315160585-6.623761923307751E-15i,-0.3594083890020997,-0.006299915077960962
96200,7.784241571979658+3.963140286494467E-15i,0.30270234779935773,0.007969916478016223
96200,9.076226184321362-5.46454045658841E-15i,-0.0013985597069631611,-0.006626164222340662
96200,10.135198644372817-9.99579501180423E-14i,-0.0033655795225923817,-0.3360323242050761
96200,10.252386152761023-7.298767544360305E-14i,0.0016886160792269648,0.6180279024086587
102800,5.319320342563666-2.123306199045321E-15i,0.003222177415609449,0.5035580486360596
102800,5.81901002246025-1.5996579986060798E-15i,0.48921130131082496,0.0057465697689723805
102800,7.101141507505976-5.547383590076857E-15i,-0.0041393922418681275,-0.7025906568543464
102800,7.346823818077264-6.885962869666661E-15i,-0.003504713037842182,-0.5655986026364577
102800,7.928252481398681+8.209588120555942E-15i,-0.37037994749050684,-0.0063336920566552535
102800,8.016389337119723+4.452116051002706E-15i,-0.40387441214161757,0.003896555731141588
102800,9.308412329719225+6.226885234733677E-15i,0.0033234165794717974,0.01517986564316579
102800,10.3712711138062-2.578595809471633E-13i,-0.00402544413258695,-0.5134879806714826
102800,10.48459844682442-1.155849725645751E-13i,0.005494825551593373,0.5409057953133816
109400,5.551474752400397+2.141340376249035E-15i,0.0031879718444879344,0.4976714428698502
109400,6.051203451174346,0.26363502088391705,-0.006475393837133906
109400,7.342333307909242,0.0036174933323658708,0.6204997750494426
109400,7.579001140411493+1.5358182153007458E-15i,-0.0032736059991467104,-0.6048952206914446
109400,8.16409948468559+3.928834840746255E-15i,-0.6556083026887499,-0.0022168698084518487
109400,8.248537029051668-1.0065825891556893E-15i,-0.6268877169795165,-0.0063732153724626005
109400,9.540596883341832,-0.0033150901528397167,-0.01527184791355812
109400,10.607190507280286-9.863925943397431E-13i,-0.004226755071247416,-0.593144822906389
109400,10.716808711760086-2.658265067715084E-13i,-0.001856927473963162,0.27950897482768655
116000,5.783628549058256,0.0031907146965379934,0.49863339207769
116000,6.2833943152232195+3.996953328198852E-15i,-0.3166580800127859,-0.006791499175969863
116000,7.5829612461214655-2.1679477458582874E-15i,0.0026990197912686057,0.4460618980693127
116000,7.8111771077035375-2.2739177521939327E-15i,-0.0031128691422889496,-0.580718769829475
116000,8.399740811503273+2.577149200817097E-15i,0.1335222611627082,0.005535825321273876
116000,8.480684655919273+5.212339272558137E-15i,0.6984885577921909,0.0024189073087553404
116000,9.772779933361-4.388862987777592E-15i,-0.0031675338697977544,-0.014604616711586386
116000,10.842965687823954-2.710623700899588E-13i,-0.004032956727709585,-0.5158599593356523
116000,10.949017036704452+1.0370619389843153E-13i,0.0015165578055081315,0.605657427035268
122600,6.015781783074482,0.003163454498811149,0.49397551186016897
122600,6.515582808705958-3.6661299809367095E-15i,0.23468013731635273,-0.006515121195130217
122600,7.823077300839836-3.2116243698640737E-15i,0.0038881248435204572,0.6544629129699234
