% Model,Cyl_Form_scales_v1.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 27 2025, 22:11"
% Table,Table 1 - Mode z parities
% scale,Eigenfrequency (GHz),ooo (1),eee (1)
0.58,21.879895854528066+2.506770008626518E-7i,0.0019814075637185615,0.9034034748334598
0.58,22.764665471233286+1.1267147726248337E-6i,3.0165972314834743E-4,0.9064454327839426
0.58,22.800787416082983+5.407562132474609E-7i,0.001646931770506095,0.7610968976758878
0.58,24.001661235633932+1.0971105812948124E-6i,0.001914597843255929,0.8081159251180838
0.58,24.052414090982932+2.7368937326012235E-7i,0.001970733820243256,0.826757320915365
0.58,24.9174510294117+2.6236226583083454E-7i,0.0021724492051529804,0.9223318412673449
0.58,25.591481795326246+1.0436279534257445E-6i,0.00132669002785738,0.671585815035478
0.58,25.648814915142967-4.945803738449745E-7i,8.12113852795014E-4,0.8865565385149977
0.58,27.469966069701126+4.483099178861832E-6i,2.1898674602316556E-4,0.91819626436616
0.58,27.475694213437087+5.39476117934801E-6i,2.0351509153258428E-4,0.8838589565635279
0.58,27.54326563851346+6.812374852666489E-7i,0.0018384067344593845,0.8320302231039823
0.58,27.601220587371074-1.8654350663069236E-6i,0.0023006168108170044,0.8549347690821953
0.6,21.927997330836995+8.541070646672559E-9i,0.0014591538606583937,0.8993127556785692
0.6,22.86149762654559+1.3277784468790624E-6i,0.0016566543212495283,0.8804948424545894
0.6,22.899033367655075-2.2103151164061388E-6i,0.0013671128652036329,0.7394333885656804
0.6,24.171485986661533+1.6389997205881142E-6i,0.0016678215756857986,0.720881936358352
0.6,24.21930611079069-4.225083706311713E-6i,0.0021073780778585313,0.8320241841260562
0.6,25.156440217267107-4.731602156242854E-7i,0.0013472342650704483,0.8049206818217844
0.6,25.86062880369094-4.867092831070019E-7i,0.003811315145113143,0.835975664481923
0.6,25.907511643771922-3.534008234229463E-6i,0.0041085559366573965,0.8381510662078216
0.6,27.88183801534637-3.1256140300618928E-6i,0.002466998836296709,0.8313920545334527
0.6,27.887687756375886-8.155058294423219E-7i,0.00243821934143045,0.8609939373519999
