% Model,Sph.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 21:30"
% Table,Table 2 - Surface Integration 2
% scale,Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
1,3.8964657566457066-4.427550262900622E-16i,1.7797562758649102E-4,0.21290718725683624,4.0983772254241465E-4,-1.7550394597966646E-4,3.508968588702909E-4,-7.760091899772581E-5,2.042368065974572E-4
1,11.997512735786945-1.5957162184164506E-15i,2.766392818140958E-4,0.15000530012214539,4.186911635748889E-5,4.759528924878883E-4,-9.389016670741302E-5,-4.604855607280215E-4,2.613730733169966E-4
1,12.842645547422572-1.0988425485335997E-14i,0.4381338635247062,3.2738104779821863E-4,-4.794955185821054E-4,3.847730450629138E-4,1.5097477583211799E-4,2.7079406112097526E-5,-9.307665098338719E-4
1,12.999541188201013+4.607852602698609E-15i,-8.525835346949522E-4,3.2882731568374045E-4,0.23095756521526567,3.34180931682185E-4,-4.944787695873573E-4,5.505236440358283E-4,3.282742032007822E-4
1,26.187186881312655-4.1850056176948235E-15i,0.0033766988338507866,0.003794591071060055,-0.0010268922846239927,7.727197326014628E-4,-8.50386606761138E-4,-0.0010450932028504072,2.8329043611634877E-4
1,26.446644413053654,-0.16856527850313818,2.931914336707797E-4,-0.008159918786799877,-1.5139619936283867E-4,8.882749893203045E-4,-4.243151262025587E-5,2.1810440724694222E-4
1,26.47558110989869-4.3102600131600095E-15i,0.02466914565741112,-3.2773383335613825E-4,-0.28063764232604377,1.5106809150304643E-4,-0.00880837237766597,-4.130386748999574E-4,0.0010883897440260657
1,27.132611432508213,3.714952245502862E-4,-0.3212240454390608,-5.894260389610825E-4,0.009248848037527778,-3.726104381456888E-4,-0.009741037428328499,-7.291146065417242E-4
1,27.182208265518597+1.653156122380223E-14i,2.38225015638713E-4,-0.016561688680438825,4.861662097893963E-4,-0.26104306869988175,-5.674009968295279E-4,0.0018016818190375783,-8.041036989857313E-4
1,45.30035866677907-1.8739924830506237E-11i,-3.6422021121952213E-4,-0.3048845258740255,-3.823247736762119E-4,-1.3649785240174068E-4,-3.2158225484990805E-4,3.575512737318222E-4,-3.6866996996373657E-4
1,45.32320672145541-8.698021650542236E-10i,-0.003598073984393829,0.00793227549133519,0.001919583739796706,0.0014095119538122486,-5.139854510236061E-4,4.909840936483952E-4,-0.0010513821009893723
1.2,3.8964515672486786-1.514198951023366E-13i,-1.259344541453816E-4,-0.007865572612018012,-1.7294138862577392E-4,1.4902835984392126E-4,3.5238250275771094E-4,-3.4886394868118584E-4,-5.783108746811467E-4
