% Model,Sph.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 21:56"
% Table,Table 2 - Surface Integration 2
% scale,Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
1,3.8964657566457066-4.427550262900622E-16i,1.7797562758649102E-4,0.21290718725683624,4.0983772254241465E-4,-1.7550394597966646E-4,3.508968588702909E-4,-7.760091899772581E-5,2.042368065974572E-4
1,11.997512735786945-1.5957162184164506E-15i,2.766392818140958E-4,0.15000530012214539,4.186911635748889E-5,4.759528924878883E-4,-9.389016670741302E-5,-4.604855607280215E-4,2.613730733169966E-4
1,12.842645547422572-1.0988425485335997E-14i,0.4381338635247062,3.2738104779821863E-4,-4.794955185821054E-4,3.847730450629138E-4,1.5097477583211799E-4,2.7079406112097526E-5,-9.307665098338719E-4
1,12.999541188201013+4.607852602698609E-15i,-8.525835346949522E-4,3.2882731568374045E-4,0.23095756521526567,3.34180931682185E-4,-4.944787695873573E-4,5.505236440358283E-4,3.282742032007822E-4
1,26.187186881312655-4.1850056176948235E-15i,0.0033766988338507866,0.003794591071060055,-0.0010268922846239927,7.727197326014628E-4,-8.50386606761138E-4,-0.0010450932028504072,2.8329043611634877E-4
1,26.446644413053654,-0.16856527850313818,2.931914336707797E-4,-0.008159918786799877,-1.5139619936283867E-4,8.882749893203045E-4,-4.243151262025587E-5,2.1810440724694222E-4
1.2,3.8964515672486786-1.514198951023366E-13i,-1.259344541453816E-4,-0.007865572612018012,-1.7294138862577392E-4,1.4902835984392126E-4,3.5238250275771094E-4,-3.4886394868118584E-4,-5.783108746811467E-4
1.2,9.281943778740187-6.103105682276811E-14i,1.4352176922879494E-4,-0.17496108050420825,7.110072127281576E-5,-9.221347184205755E-5,-5.645687763536707E-4,8.351803046513634E-5,5.788191569993949E-5
1.2,10.08510285084128-1.839507128365333E-15i,-0.24997008732004597,4.507097077538705E-5,-8.171197920260345E-5,-1.60232269817879E-4,-1.1751071478053086E-4,-3.2426657166344583E-4,-2.704864851385756E-4
1.2,10.283389661724245-7.671414579487444E-14i,-6.427281103239556E-4,3.713453741689722E-4,0.20364007223320213,2.981475987166751E-5,2.2734177602180464E-4,5.894057518876104E-4,6.556496458199607E-4
1.2,19.15571714718463+8.444739852427293E-14i,0.0012674671789515972,0.1334261384892633,0.0022240123664357537,6.260641712428869E-4,6.113574311947482E-4,-2.716004708145823E-4,1.822822595244217E-4
1.2,19.417436045060754-7.766289030989752E-14i,0.20868687191375146,4.24469792886328E-4,0.01303308329635844,9.840341233703883E-5,7.665980911963097E-5,-1.0911556938045211E-5,1.170807197261293E-6
