% Model,Sph.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 21:19"
% Table,Table 3 - Line Integration 3
% scale,Eigenfrequency (GHz),o (1),e (1)
1,3.8964657566457066-4.427550262900622E-16i,2.717371177062858E-6,0.609150490890774
1,11.997512735786945-1.5957162184164506E-15i,0.39072607982716373,2.0800746806420108E-4
1,12.842645547422572-1.0988425485335997E-14i,-1.1988726032798551E-4,0.6792197494352666
1,12.999541188201013+4.607852602698609E-15i,5.145202076017531E-5,0.6583231611218193
1,26.187186881312655-4.1850056176948235E-15i,-5.341665234860403E-4,-0.0026605436668671618
1,26.446644413053654,-0.24604495481063454,0.007614678230448347
1,26.47558110989869-4.3102600131600095E-15i,-0.7222793525941129,0.006095488292314954
1,27.132611432508213,-5.410186644092854E-5,-0.8964654598712086
1,27.182208265518597+1.653156122380223E-14i,0.002026793853368468,-0.7798610335157924
1,45.30035866677907-1.8739924830506237E-11i,0.5657975352682009,-0.6064249556825246
1,45.32320672145541-8.698021650542236E-10i,-0.07055201973419485,-0.21197656184932892
1.2,3.8964515672486786-1.514198951023366E-13i,1.137338765177759E-5,-0.022898085458731468
1.2,9.281943778740187-6.103105682276811E-14i,-0.4555116629574673,-0.0018548893053605253
1.2,10.08510285084128-1.839507128365333E-15i,9.652442932828354E-5,-0.39977345331235126
1.2,10.283389661724245-7.671414579487444E-14i,-6.990701785415132E-5,0.5809387566159478
1.2,19.15571714718463+8.444739852427293E-14i,0.005309301360472079,-0.1646648674413674
1.2,19.417436045060754-7.766289030989752E-14i,0.3173000482510458,0.00940124787798476
1.2,19.460166731298223+4.8238871924648656E-14i,0.6990696922889261,-0.0024944071215508624
1.2,20.092887411731606,-0.0015718539951127173,0.4608792517988024
1.2,20.166966708107022-8.050726133363949E-14i,-7.067506605827829E-4,0.8093056131498558
1.2,32.462956992359565-5.6587591017302415E-11i,-0.4365507099269074,0.07372067755601278
1.2,32.56697127718677-3.610953625787386E-9i,1.0532387971303054E-4,0.5108047354071835
1.4,3.896426907359869-3.328898985080054E-15i,2.4014152551488952E-6,0.6468430704035564
1.4,7.644393579122178-8.614987078370692E-16i,-0.800626940803209,-0.0016801166568098484
1.4,8.409229601770921-1.819936345393294E-15i,2.7549630712755025E-4,-0.2833466118534234
1.4,8.645106719650043-7.074486947224139E-15i,3.1838299247485927E-4,-0.08652253138368314
1.4,14.907525098270058-9.59367910383633E-15i,-0.0029177431591861417,0.08414214321417976
1.4,15.17390273634388+2.1806755000628755E-14i,0.7044832047125514,0.004759266490953519
1.4,15.230049940472876+5.0588317989269416E-15i,0.63522833657992,0.00508426155934161
1.4,15.836894973864805+5.425633749816514E-15i,-2.1628259211010114E-4,-0.8524573187417295
1.4,15.935702348132775+1.3380221539056104E-14i,9.09076479985864E-4,-0.5983907198830124
1.4,24.703965340883236-6.358635748431213E-12i,-0.4195510684503943,-0.026099725279905377
1.4,24.81005381968142+1.1864095320333567E-10i,-2.9375036531013204E-4,0.05798147395690942
1.6,3.8963483065114337+8.010640274414838E-16i,-1.6385791800958106E-6,0.6487209474497967
1.6,6.58144961144894,-0.6400074103021696,-0.0016088629160064022
1.6,7.312352806214187+3.897249375641409E-15i,3.398674491668969E-4,0.4922857550487168
1.6,7.582074830603854-2.280555269761165E-15i,1.471542327278438E-4,-0.6031282040711499
1.6,12.146352121229878-5.9106007553517406E-15i,-0.0025038936300762825,0.06043995849506904
1.6,12.416016350960966+2.107149457154485E-14i,-0.7252933597240029,-0.001769332307453545
1.6,12.486520339504606,-0.2760730345716568,8.67184670124712E-4
1.6,13.06713458632302-1.320069205875146E-14i,-4.180971212128073E-4,-0.8699061673055551
1.6,13.19294095140763-1.2865990853475876E-14i,4.3772687066759194E-4,-0.8870156064116086
1.6,19.66869116282277+5.150848387545796E-13i,-0.3800462379814432,-0.03242723973667736
1.6,19.78478673045977-7.1226072339467E-11i,0.004507404105498995,-0.0826586724657783
1.8,3.896513481145555+2.8301963815366016E-15i,-1.650746206554305E-5,0.6206941009872259
1.8,5.852909897144366-4.450712874880751E-15i,0.5466009644519713,2.028367742859314E-4
1.8,6.553851059956442+1.6418289296837602E-15i,-0.0016891911056816865,0.3466590182002008
1.8,6.853438510739507+1.4884753878583605E-15i,0.0012581295194822437,-0.5345133316018775
1.8,10.243673559871734-7.960299235509964E-15i,-0.002030802395428924,0.040026363827418414
1.8,10.517887746913594+2.301946944823711E-14i,-0.8167584907714791,-3.1681106967426794E-4
1.8,10.602995563009234+3.834383946454092E-15i,-0.4236918716297663,-0.0014204079046206343
1.8,11.157555061819405+2.2379986745429623E-14i,-0.008471589325493044,-0.020728945492225148
1.8,11.31038878588501+9.717678558644123E-15i,0.01203220467063026,-0.2246056315729926
1.8,16.203069143778343-1.656864293850417E-13i,-0.40089335487245203,0.017310108173254464
1.8,16.31466138444315+3.639355368399523E-13i,0.016907206225888077,0.17592176016550232
2,3.8965096052061705-5.365683441392617E-16i,6.026100564088818E-6,0.6342765408314347
2,5.3317004270373465+4.3504595647338235E-15i,-0.579697618288976,0.0027078269787129666
2,6.006804580470986+4.780717263048862E-15i,-0.0013291221628015195,0.199017707765401
2,6.331973485680077-3.233932382550914E-15i,3.2698588654410583E-4,0.8445724504719319
2,8.878460258611781-1.0127142300129695E-14i,1.8674752157091473E-4,0.05715878003276387
2,9.159584032003202,0.2243182367933979,0.008888746876311972
2,9.258717783650809,-0.7753738778588158,0.005309720933118055
