% Model,Sph.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 21:53"
% Table,Table 3 - Line Integration 3
% scale,Eigenfrequency (GHz),o (1),e (1)
1,3.8964657566457066-4.427550262900622E-16i,2.717371177062858E-6,0.609150490890774
1,11.997512735786945-1.5957162184164506E-15i,0.39072607982716373,2.0800746806420108E-4
1,12.842645547422572-1.0988425485335997E-14i,-1.1988726032798551E-4,0.6792197494352666
1,12.999541188201013+4.607852602698609E-15i,5.145202076017531E-5,0.6583231611218193
1,26.187186881312655-4.1850056176948235E-15i,-5.341665234860403E-4,-0.0026605436668671618
1,26.446644413053654,-0.24604495481063454,0.007614678230448347
1.2,3.8964515672486786-1.514198951023366E-13i,1.137338765177759E-5,-0.022898085458731468
1.2,9.281943778740187-6.103105682276811E-14i,-0.4555116629574673,-0.0018548893053605253
1.2,10.08510285084128-1.839507128365333E-15i,9.652442932828354E-5,-0.39977345331235126
1.2,10.283389661724245-7.671414579487444E-14i,-6.990701785415132E-5,0.5809387566159478
1.2,19.15571714718463+8.444739852427293E-14i,0.005309301360472079,-0.1646648674413674
1.2,19.417436045060754-7.766289030989752E-14i,0.3173000482510458,0.00940124787798476
1.4,3.896426907359869-3.328898985080054E-15i,2.4014152551488952E-6,0.6468430704035564
1.4,7.644393579122178-8.614987078370692E-16i,-0.800626940803209,-0.0016801166568098484
1.4,8.409229601770921-1.819936345393294E-15i,2.7549630712755025E-4,-0.2833466118534234
1.4,8.645106719650043-7.074486947224139E-15i,3.1838299247485927E-4,-0.08652253138368314
1.4,14.907525098270058-9.59367910383633E-15i,-0.0029177431591861417,0.08414214321417976
1.4,15.17390273634388+2.1806755000628755E-14i,0.7044832047125514,0.004759266490953519
1.6,3.8963483065114337+8.010640274414838E-16i,-1.6385791800958106E-6,0.6487209474497967
1.6,6.58144961144894,-0.6400074103021696,-0.0016088629160064022
1.6,7.312352806214187+3.897249375641409E-15i,3.398674491668969E-4,0.4922857550487168
1.6,7.582074830603854-2.280555269761165E-15i,1.471542327278438E-4,-0.6031282040711499
1.6,12.146352121229878-5.9106007553517406E-15i,-0.0025038936300762825,0.06043995849506904
1.6,12.416016350960966+2.107149457154485E-14i,-0.7252933597240029,-0.001769332307453545
1.8,3.896513481145555+2.8301963815366016E-15i,-1.650746206554305E-5,0.6206941009872259
1.8,5.852909897144366-4.450712874880751E-15i,0.5466009644519713,2.028367742859314E-4
1.8,6.553851059956442+1.6418289296837602E-15i,-0.0016891911056816865,0.3466590182002008
1.8,6.853438510739507+1.4884753878583605E-15i,0.0012581295194822437,-0.5345133316018775
1.8,10.243673559871734-7.960299235509964E-15i,-0.002030802395428924,0.040026363827418414
1.8,10.517887746913594+2.301946944823711E-14i,-0.8167584907714791,-3.1681106967426794E-4
2,3.8965096052061705-5.365683441392617E-16i,6.026100564088818E-6,0.6342765408314347
2,5.3317004270373465+4.3504595647338235E-15i,-0.579697618288976,0.0027078269787129666
2,6.006804580470986+4.780717263048862E-15i,-0.0013291221628015195,0.199017707765401
2,6.331973485680077-3.233932382550914E-15i,3.2698588654410583E-4,0.8445724504719319
2,8.878460258611781-1.0127142300129695E-14i,1.8674752157091473E-4,0.05715878003276387
2,9.159584032003202,0.2243182367933979,0.008888746876311972
2.2,3.896400867489176-1.6633125308590367E-15i,2.0861544130140917E-5,0.6398205697688615
2.2,4.945999186940171-1.5479536834074361E-15i,-0.03275132921595939,-1.7766907361870066E-4
2.2,5.598867082890378+2.9940046863943946E-15i,-2.4191458634095267E-5,0.8947721148719145
2.2,5.945272991165356+1.1216354781338028E-14i,-1.6576276882022305E-4,-0.1623146112726267
2.2,7.864835568343464-7.746787135823429E-15i,0.0028827937850293343,0.048061703894800814
2.2,8.149961881539776+4.7856090721409806E-15i,0.4793965610609718,-0.003718002189491949
2.4000000000000004,3.8964511845949192-6.1769697200094726E-15i,-3.856168794970261E-5,0.4056766776504848
2.4000000000000004,4.652533461380822+2.429304234238446E-15i,-0.5694551950573193,-0.002576932304376956
2.4000000000000004,5.286303438484059+5.1100889634376085E-15i,1.2582685178667448E-4,0.8323584758567406
2.4000000000000004,5.651948393024223-1.341794805269362E-15i,-6.143592686959834E-6,0.7487919737471692
2.4000000000000004,7.087756558119762+5.357162551710007E-15i,-1.1735038845693847E-4,0.002801335348948872
2.4000000000000004,7.379348239100257-8.003657089650932E-15i,0.6195680025042902,0.007049904741004639
2.6,3.8964362944753828,7.343930954548065E-5,0.6112809565105368
2.6,4.424147355721649-1.6474971204825095E-15i,0.5254330834175844,-5.313506896694867E-4
2.6,5.041450218159712+1.0622378742395057E-14i,6.880124120389066E-4,0.7043697358768745
2.6,5.423312821027452-1.9214475355461818E-15i,4.495841212142585E-4,-0.7081456826698254
2.6,6.4809943246522685-2.8151840004998106E-15i,-0.002276417964001113,0.0035818838683996444
2.6,6.77839337336184+2.8386931000853175E-15i,0.24316855660237865,0.0011533581268884177
2.8,3.896426278345565+2.5593291735249866E-15i,8.689799926587381E-6,0.6805408107478679
2.8,4.242783087893343-5.353490842007784E-15i,-0.8091014051288992,-0.001709639601560086
2.8,4.846004562141736+2.9264321919827286E-15i,-3.7030595376547427E-6,0.8646150994017784
2.8,5.241676395031994-7.392860548906492E-15i,5.97045147826192E-5,0.45177420712293065
2.8,5.995456711715513+1.3357303705159192E-15i,-0.003078720523712191,0.0015377622622863745
2.8,6.299162570196738+3.638503200376624E-15i,0.7893862899862591,0.002538308821037964
