% Model,cyl_axes_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 02:48"
% Table,Table 1 - Surface Integration 1
% scale,Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
1,22.84750044065364-3.84017301998478E-8i,3.452949549563313E-4,0.2565019000830321,-1.1621489670967423E-4,5.56816907071275E-4,-6.149378156803748E-4,4.114167966737112E-5,-3.4111016605955195E-4
1,27.134577070166923-4.969459596085488E-8i,3.69401972369348E-4,0.20435698104986952,-8.100051061899304E-5,5.466817063878319E-4,-6.233959745029355E-4,9.759719415010126E-5,-3.9693320812826346E-4
1,30.03173232188975+2.7853672240935575E-7i,-0.07073560633109216,-3.5481962235143495E-5,2.6061967522662038E-5,5.427904651457249E-5,-1.7485023966349575E-5,-9.54163612976485E-7,1.1769684328929586E-4
1,30.123220423117154-1.9362925138315957E-7i,4.5522897529138147E-4,-2.5492040971292836E-4,-0.15343699081302709,4.636605429920122E-4,-4.415706570483201E-4,9.580948680689685E-4,-1.9906794062630193E-4
1,34.54459103701593+7.70452145968945E-7i,-0.058647855530361295,-2.37850156377036E-5,3.241709573951122E-4,5.00487495314111E-5,-7.233696551909422E-5,-8.346774349072745E-6,5.0807897533295044E-5
1,34.58246964260218-4.5652310583824503E-7i,-2.0016398989706414E-4,2.5588380503333577E-4,0.1620449986394348,-4.368173823568346E-4,7.139233154345253E-4,-9.423008369885105E-4,1.9601458280998763E-4
1,42.00680432151809+2.7069278014316294E-7i,3.3039684785983735E-4,0.2737623602495323,-1.2521081449571063E-4,5.472120376685492E-4,-6.049142878110809E-4,1.916586366361502E-5,-3.165158411685429E-4
1,42.36452896031551+1.0555817945230267E-6i,3.116551867552338E-4,-0.13068142879152841,1.5608419196316272E-4,-6.737033158511833E-4,-4.4262835400712383E-4,-3.740167973640651E-4,-5.669052884648885E-4
1,42.435936827936374-9.780364543437057E-7i,-4.531547331203156E-6,-7.342413724521721E-4,1.3239946182053028E-4,-0.16476719972815015,8.093704650012115E-4,-2.699101218008145E-4,0.0012364188137767732
1.2,22.847250674929658+7.61094087030428E-8i,6.804623401877881E-5,0.23536119125787117,-3.077224272977726E-5,2.9792363965153385E-4,-4.773753933718613E-4,-6.896254894616325E-5,-2.662596544097096E-4
1.2,25.587285001367327+5.228091045702811E-7i,-1.1223066220934282E-4,0.005250467612040603,-2.3024021608134585E-5,-2.7447432986675075E-4,2.7057931688949095E-4,1.7163625900917307E-4,2.269700942688002E-4
1.2,27.89979220967507+6.744968274199463E-7i,-0.5916791328389701,7.939806919695168E-6,-3.044930869936043E-4,8.32491520320429E-5,-1.2145974955132813E-4,5.974071088537413E-4,-2.2911444979746743E-5
1.2,27.998571946495936+4.548162009899483E-7i,-6.033259991483659E-4,1.1964781572055796E-4,0.12984954915746552,-3.696611885836607E-4,-6.67454511658233E-5,-3.905256615470325E-4,-8.6249681720493E-4
1.2,30.869396873991207+8.909451954110267E-7i,-0.6690149249191593,2.3000737168669694E-5,2.2496252938720578E-4,1.1788554250151981E-4,-1.5516527792653164E-4,6.604259809583644E-4,-1.130930591806716E-5
1.2,30.911430426151455+7.310865995943837E-7i,0.0016787098733463254,-1.359487466357843E-4,-0.10004859189713762,3.5030257886559205E-4,4.0383805902451163E-4,4.0832356178839417E-4,8.934202273973398E-4
1.2,35.820073013247175+1.1277246797254669E-6i,6.401916457874448E-5,0.2273826717261906,-2.7599700157084025E-5,3.0033749626596227E-4,-4.7314728960033567E-4,-7.273928965136535E-5,-2.678587479231713E-4
