% Model,cylinder.mph
% Version,COMSOL 6.1.0.282
% Date,"Oct 30 2024, 18:57"
% Table,Table 4 - Surface Integration 1
% h0 (A/m),Eigenfrequency (Hz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1)
500000,1.881453281851932E10+3.731115431388579E-5i,1.8426152159074094E-5,-0.05463581940281009,1.4103707101432156E-4,5.380180377282393E-5,-1.08785387975348E-5,3.7383876413606305E-4
500000,1.897513172382678E10+1.6560367054502695E-5i,3.707113925011929E-4,-0.3570400636433271,5.464352281416209E-4,0.0014696835735943155,-1.4066750938679303E-4,2.089691736031716E-4
500000,1.9495488959489113E10+0.020572334865016136i,-4.6971769364238293E-4,0.6366904771664124,-8.705446241662751E-4,-0.0015579091516135443,2.097132448250019E-4,-6.077543165920567E-4
500000,1.9587961811037838E10+0.20038781397343836i,0.13814735887753332,5.666742389585233E-5,-0.035156252899284535,-9.178939983582932E-5,-2.5292124997003135E-4,3.716489733137263E-5
500000,1.964427836992125E10-22.752913551891208i,0.06261732834719842,-1.6903385674031738E-4,-0.05777960512582454,-1.238205390605414E-4,-4.7276868477949107E-4,1.3489310472958056E-4
500000,1.9659070539389973E10+118.28587577037874i,0.2026508804735733,1.81133261432244E-5,0.012581800724912339,-2.1103085576528672E-4,-2.7119976281681033E-4,1.8530627371276322E-4
750000,2.7607902013133995E10-1.9895977901033347E-4i,8.033354465085483E-5,-0.021776592053578105,-1.0439901025968186E-4,2.761825992265589E-4,-3.732636791103661E-5,-7.950757186751873E-4
750000,2.7768587552478226E10-1.139748567944428E-4i,3.7442669785476537E-4,-0.35999558335580883,5.535310657320426E-4,0.0013288726129666185,-1.4166492562547628E-4,2.215820744862363E-4
750000,2.8288811434085766E10-0.005587717994870784i,-4.8644959907313064E-4,0.6633674000834064,-9.164044004247952E-4,-0.0015866767123482936,2.166405082272932E-4,-6.862156305124621E-4
750000,2.8398980677575344E10+6.980417917789323i,-0.051819650626893546,5.9886612698550006E-5,0.013264965677839427,-1.1929796261116429E-4,-1.7844324716080194E-4,2.1002935218750836E-4
750000,2.8437705269228874E10+25.773058700269917i,0.04589708825757095,-1.3740978584048815E-4,-0.04259105940218095,-1.4698377236296606E-4,-5.137000067386801E-4,1.8721746511210507E-4
750000,2.8467937663728912E10+394.2248696585621i,-0.20971681484875715,-2.0540043296949132E-5,-0.019073265288932672,2.0669833572457656E-4,2.5133671320650905E-4,-1.89269130175802E-4
1000000,3.6401244644593704E10-4.405448784525211E-5i,-1.2137297843870426E-5,0.05339700958674096,-1.490407768717526E-4,-2.6755899064262543E-5,8.119645625038493E-6,-4.2921207407764484E-4
1000000,3.656197677553753E10-5.986547364799126E-5i,3.548062974502871E-4,-0.33549766661189157,5.000299346865957E-4,0.0011896001458016597,-1.3526877919552122E-4,1.1652097963091995E-4
1000000,3.708212857304664E10-0.015905846664046906i,-4.680162531529383E-4,0.6331878573662777,-8.644467217667725E-4,-0.0015185177313566355,2.0895517696109978E-4,-5.972613479637776E-4
1000000,3.7201607583672E10-5.238601994175827i,-0.0898983421464299,4.4886971576141754E-5,0.023393273208257903,-7.943687550078223E-5,-4.9158186366756763E-5,1.6986913344450716E-4
1000000,3.723107877363649E10+57.163755878865274i,0.014583478289387906,-7.617730942640651E-5,-0.013900523959061335,-1.5837405987155538E-4,-5.722505117979704E-4,2.3810363060898819E-4
1000000,3.726928518775108E10+150.43445490063374i,-0.22025560545187922,1.5040928516325776E-5,-0.023884968431994294,9.566537704340506E-5,2.5441990386694275E-4,6.043937052934415E-6
1250000,4.519457551003849E10-9.728487059429605E-5i,-7.867534301831818E-5,0.038377210568122204,4.6719088646570794E-5,-2.6379766654683647E-4,3.7473749935313066E-5,5.949044423784195E-4
1250000,4.535533678817402E10-1.2310082049272027E-4i,4.113421540594348E-4,-0.40506059269501427,6.577419022518209E-4,0.0013020570004922388,-1.5291476775036836E-4,4.4075349883739186E-4
1250000,4.587544332483721E10-9.0824798923716E-4i,-3.5043275446125586E-4,0.44679280569974344,-5.517960327724445E-4,-0.0011537807677707828,1.5960061880729997E-4,-9.396169705414188E-5
1250000,4.600066672705303E10-20.70280859339283i,-0.03583121224866408,8.47875068769352E-5,0.009161881462210388,-1.399064291369187E-4,-1.5901835398868594E-4,2.129002611668687E-4
1250000,4.6024428706608696E10-58.3390502132829i,0.016564541060055515,-8.071694733482887E-5,-0.015727783407771815,-1.588458783657565E-4,-5.983834341518483E-4,2.3578243905687883E-4
1250000,4.606750696750684E10+446.9040104897285i,-0.11750509795708453,2.644504230796284E-5,-0.014221624237450315,-3.451658073991802E-7,1.7799236401710864E-4,8.808465971342288E-5
1500000,5.398790011224691E10+6.276955835378809E-5i,7.856144696047584E-5,-0.015825680738184036,-1.2056327630235829E-4,2.7024017570305425E-4,-3.6315033721993006E-5,-8.397993666483689E-4
1500000,5.4148681361622086E10+8.769997615978246E-5i,3.6699625723327306E-4,-0.34928244487140775,5.30434097941697E-4,0.001146357861483564,-1.3911052711759487E-4,1.7441563717367214E-4
1500000,5.466875679939382E10-0.008330506597425317i,-4.7861907366975823E-4,0.6499678993021397,-8.932482678296371E-4,-0.0015377433392360362,2.1332673824750253E-4,-6.461994907550374E-4
1500000,5.4797878545203384E10+7.76888275611291i,0.06822767956688118,-7.142841884890408E-5,-0.01777128780582055,1.1136829217024408E-4,5.892524124122885E-5,-1.8967864150842983E-4
1500000,5.481776625119203E10-17.382187492180282i,0.07432146593387917,-1.5010768341946785E-4,-0.06803307493415575,2.4718457070985785E-5,4.951499600625454E-5,-1.1388452939404864E-4
1500000,5.4864131710270546E10+37.16510956492968i,-0.24820723432562625,1.516666839180433E-5,-0.030074032159210062,1.1643330845558566E-4,3.201792723977349E-4,-2.4550769659551505E-5
1750000,6.278122097748663E10+1.1533036279063325E-5i,-1.8607777234340764E-5,-0.042136943113994074,1.787293691503866E-4,-7.959824907025656E-5,6.289201525865908E-6,6.965476120822788E-4
1750000,6.294201677266754E10+3.245812907076825E-5i,3.384799154628438E-4,-0.31504583610967946,4.5641244509594123E-4,0.001046444869473034,-1.298552124741443E-4,3.3849971289993605E-5
1750000,6.346206950968735E10+3.340916850203968E-4i,-4.5985297620453666E-4,0.61951105687054,-8.410296880198033E-4,-0.0014778083310027779,2.0552188613607604E-4,-5.575663980762445E-4
1750000,6.3594010424819405E10+4.702005366433502i,-0.10771785719400322,4.032960839193572E-5,0.028388300241395197,-5.7380094851966555E-5,7.221585412389058E-5,1.3858061303844617E-4
